주당_카페_방문횟수,포인트_쿠폰_관리,적립_빈도,가격,시설편의성,접근성,커피맛,쿠폰 적립
3,1,1,1,0,1,0,0
3,3,7,1,0,1,0,0
5,4,7,0,0,1,0,0
5,2,7,1,1,1,0,1
2,2,5,0,0,1,0,0
3,3,5,1,0,1,0,0
3,3,1,1,0,1,1,0
4,3,7,0,0,1,0,1
3,2,3,1,0,1,1,1
2,1,1,0,0,1,0,0
4,1,1,1,0,1,1,0
2,2,7,0,0,1,0,0
5,4,7,0,0,1,0,0
3,3,5,1,0,0,0,0
2,4,7,1,0,0,0,0
2,3,5,1,1,1,1,0
1,3,3,1,0,1,0,0
3,3,3,0,0,1,0,0
1,1,3,0,0,1,0,0
1,2,3,1,0,1,0,0
1,3,5,0,0,1,0,0
1,3,5,0,0,1,0,0
1,1,0,0,0,1,0,1
4,2,5,0,0,1,0,0
4,4,5,1,0,1,0,0
5,4,5,0,0,1,0,1
3,3,5,1,0,0,0,0
5,2,5,0,0,1,0,0
4,3,7,0,0,1,0,0
5,4,7,1,0,0,0,1
5,3,5,1,0,1,0,1
4,3,7,0,0,1,0,0
2,2,5,1,0,1,0,0
1,0,0,0,1,1,0,0
4,4,7,1,0,1,0,0
3,2,3,0,0,1,0,0
5,4,7,0,0,1,0,1
5,2,5,1,0,1,0,1
